pbp_id,original_points,original_description,processed_points,processed_description,team,points_diff
7,2,Gafford 1' Alley Oop Dunk (2 PTS) (Davis 1 AST),2,Gafford 1' Alley Oop Dunk (2 PTS) (Davis 1 AST),DAL,0
16,2,Washington 1' Running Dunk (2 PTS) (Davis 2 AST),2,Washington 1' Running Dunk (2 PTS) (Davis 2 AST),DAL,0
23,2,Thompson 7' Driving Floating Bank Jump Shot (2 PTS) (Davis 3 AST),2,Thompson 7' Driving Floating Bank Jump Shot (2 PTS) (Davis 3 AST),DAL,0
27,2,Thompson 1' Driving Layup (4 PTS) (Washington 1 AST),2,Thompson 1' Driving Layup (4 PTS) (Washington 1 AST),DAL,0
34,2,Davis 6' Turnaround Jump Shot (2 PTS),2,Davis 6' Turnaround Jump Shot (2 PTS),DAL,0
37,2,Davis 5' Turnaround Hook Shot (4 PTS),2,Davis 5' Turnaround Hook Shot (4 PTS),DAL,0
46,2,Davis Tip Dunk Shot (6 PTS),2,Davis Tip Dunk Shot (6 PTS),DAL,0
54,3,Davis 25' 3PT Pullup Jump Shot (9 PTS),3,Davis 25' 3PT Pullup Jump Shot (9 PTS),DAL,0
69,2,Davis 20' Pullup Jump Shot (11 PTS),2,Davis 20' Pullup Jump Shot (11 PTS),DAL,0
76,1,Washington Free Throw 1 of 2 (3 PTS),1,Washington Free Throw 1 of 2 (3 PTS),DAL,0
79,1,Washington Free Throw 2 of 2 (4 PTS),1,Washington Free Throw 2 of 2 (4 PTS),DAL,0
89,2,Marshall 1' Driving Layup (2 PTS),2,Marshall 1' Driving Layup (2 PTS),DAL,0
95,2,Marshall 4' Running Layup (4 PTS) (Exum 1 AST),2,Marshall 4' Running Layup (4 PTS) (Exum 1 AST),DAL,0
108,1,Davis Free Throw 2 of 2 (12 PTS),1,Davis Free Throw 2 of 2 (12 PTS),DAL,0
110,2,Davis 7' Turnaround Hook Shot (14 PTS),2,Davis 7' Turnaround Hook Shot (14 PTS),DAL,0
113,3,Christie 3PT Running Jump Shot (3 PTS) (Exum 2 AST),3,Christie 3PT Running Jump Shot (3 PTS) (Exum 2 AST),DAL,0
137,1,Christie Free Throw 1 of 2 (4 PTS),1,Christie Free Throw 1 of 2 (4 PTS),DAL,0
142,1,Christie Free Throw 2 of 2 (5 PTS),1,Christie Free Throw 2 of 2 (5 PTS),DAL,0
162,2,Thompson 2' Driving Finger Roll Layup (6 PTS) (Christie 1 AST),2,Thompson 2' Driving Finger Roll Layup (6 PTS) (Christie 1 AST),DAL,0
178,3,Thompson 27' 3PT Running Pull-Up Jump Shot (9 PTS),3,Thompson 27' 3PT Running Pull-Up Jump Shot (9 PTS),DAL,0
232,1,Irving Free Throw 2 of 2 (2 PTS),1,Irving Free Throw 2 of 2 (2 PTS),DAL,0
245,2,Thompson 2' Driving Layup (11 PTS),2,Thompson 2' Driving Layup (11 PTS),DAL,0
249,3,Dinwiddie 3PT Jump Shot (3 PTS) (Thompson 1 AST),3,Dinwiddie 3PT Jump Shot (3 PTS) (Thompson 1 AST),DAL,0
265,2,Davis 1' Putback Dunk (16 PTS),2,Davis 1' Putback Dunk (16 PTS),DAL,0
268,3,Dinwiddie 3PT Jump Shot (6 PTS) (Davis 4 AST),3,Dinwiddie 3PT Jump Shot (6 PTS) (Davis 4 AST),DAL,0
272,2,Davis Alley Oop Dunk (18 PTS) (Irving 1 AST),2,Davis Alley Oop Dunk (18 PTS) (Irving 1 AST),DAL,0
287,1,Davis Free Throw 2 of 2 (19 PTS),1,Davis Free Throw 2 of 2 (19 PTS),DAL,0
301,1,Davis Free Throw 1 of 2 (20 PTS),1,Davis Free Throw 1 of 2 (20 PTS),DAL,0
304,1,Davis Free Throw 2 of 2 (21 PTS),1,Davis Free Throw 2 of 2 (21 PTS),DAL,0
309,1,Washington Free Throw 1 of 2 (5 PTS),1,Washington Free Throw 1 of 2 (5 PTS),DAL,0
310,1,Washington Free Throw 2 of 2 (6 PTS),1,Washington Free Throw 2 of 2 (6 PTS),DAL,0
313,3,Davis 25' 3PT Jump Shot (24 PTS) (Irving 2 AST),3,Davis 25' 3PT Jump Shot (24 PTS) (Irving 2 AST),DAL,0
317,2,Exum 2' Driving Dunk (2 PTS) (Irving 3 AST),2,Exum 2' Driving Dunk (2 PTS) (Irving 3 AST),DAL,0
329,3,Christie 24' 3PT Jump Shot (8 PTS) (Davis 5 AST),3,Christie 24' 3PT Jump Shot (8 PTS) (Davis 5 AST),DAL,0
356,2,Thompson 17' Pullup Jump Shot (13 PTS) (Irving 4 AST),2,Thompson 17' Pullup Jump Shot (13 PTS) (Irving 4 AST),DAL,0
360,2,Christie 16' Step Back Jump Shot (10 PTS) (Davis 6 AST),2,Christie 16' Step Back Jump Shot (10 PTS) (Davis 6 AST),DAL,0
409,2,Marshall 5' Driving Floating Jump Shot (6 PTS),2,Marshall 5' Driving Floating Jump Shot (6 PTS),DAL,0
421,2,Davis 15' Jump Shot (26 PTS) (Exum 3 AST),2,Davis 15' Jump Shot (26 PTS) (Exum 3 AST),DAL,0
428,3,Marshall 25' 3PT Jump Shot (9 PTS) (Dinwiddie 1 AST),3,Marshall 25' 3PT Jump Shot (9 PTS) (Dinwiddie 1 AST),DAL,0
438,3,Marshall 3PT Jump Shot (12 PTS) (Davis 7 AST),3,Marshall 3PT Jump Shot (12 PTS) (Davis 7 AST),DAL,0
441,2,Irving 3' Driving Floating Jump Shot (4 PTS),2,Irving 3' Driving Floating Jump Shot (4 PTS),DAL,0
446,1,Irving Free Throw 1 of 1 (5 PTS),1,Irving Free Throw 1 of 1 (5 PTS),DAL,0
463,1,Dinwiddie Free Throw 2 of 2 (7 PTS),1,Dinwiddie Free Throw 2 of 2 (7 PTS),DAL,0
466,3,Dinwiddie 26' 3PT Pullup Jump Shot (10 PTS),3,Dinwiddie 26' 3PT Pullup Jump Shot (10 PTS),DAL,0
476,3,Christie 27' 3PT Jump Shot (13 PTS) (Irving 5 AST),3,Christie 27' 3PT Jump Shot (13 PTS) (Irving 5 AST),DAL,0
496,2,Irving 1' Driving Layup (7 PTS),2,Irving 1' Driving Layup (7 PTS),DAL,0
510,2,Irving 8' Driving Floating Jump Shot (9 PTS),2,Irving 8' Driving Floating Jump Shot (9 PTS),DAL,0
517,2,Gafford 1' Putback Dunk (4 PTS),2,Gafford 1' Putback Dunk (4 PTS),DAL,0
536,2,Irving 13' Pullup Jump Shot (11 PTS),2,Irving 13' Pullup Jump Shot (11 PTS),DAL,0
593,1,Christie Free Throw 2 of 2 (14 PTS),1,Christie Free Throw 2 of 2 (14 PTS),DAL,0
595,2,Marshall 21' Jump Shot (14 PTS) (Christie 2 AST),2,Marshall 21' Jump Shot (14 PTS) (Christie 2 AST),DAL,0
608,1,Christie Free Throw 1 of 2 (15 PTS),1,Christie Free Throw 1 of 2 (15 PTS),DAL,0
609,1,Christie Free Throw 2 of 2 (16 PTS),1,Christie Free Throw 2 of 2 (16 PTS),DAL,0
617,2,Marshall 1' Driving Layup (16 PTS) (Gafford 1 AST),2,Marshall 1' Driving Layup (16 PTS) (Gafford 1 AST),DAL,0
646,1,Irving Free Throw 1 of 2 (12 PTS),1,Irving Free Throw 1 of 2 (12 PTS),DAL,0
649,1,Irving Free Throw 2 of 2 (13 PTS),1,Irving Free Throw 2 of 2 (13 PTS),DAL,0
654,3,Christie 26' 3PT Jump Shot (19 PTS) (Irving 6 AST),3,Christie 26' 3PT Jump Shot (19 PTS) (Irving 6 AST),DAL,0
667,1,Gafford Free Throw 1 of 2 (5 PTS),1,Gafford Free Throw 1 of 2 (5 PTS),DAL,0
682,1,Christie Free Throw 1 of 2 (20 PTS),1,Christie Free Throw 1 of 2 (20 PTS),DAL,0
683,1,Christie Free Throw 2 of 2 (21 PTS),1,Christie Free Throw 2 of 2 (21 PTS),DAL,0
688,1,Exum Free Throw 1 of 2 (3 PTS),1,Exum Free Throw 1 of 2 (3 PTS),DAL,0
693,1,Exum Free Throw 2 of 2 (4 PTS),1,Exum Free Throw 2 of 2 (4 PTS),DAL,0
701,1,Christie Free Throw 1 of 2 (22 PTS),1,Christie Free Throw 1 of 2 (22 PTS),DAL,0
702,1,Christie Free Throw 2 of 2 (23 PTS),1,Christie Free Throw 2 of 2 (23 PTS),DAL,0
9,3,Thompson 3PT Jump Shot (3 PTS) (Eason 1 AST),3,Thompson 3PT Jump Shot (3 PTS) (Eason 1 AST),HOU,0
25,2,Sengun 18' Jump Shot (2 PTS) (Ja. Green 1 AST),2,Sengun 18' Jump Shot (2 PTS) (Ja. Green 1 AST),HOU,0
33,2,Ja. Green 2' Driving Layup (2 PTS),2,Ja. Green 2' Driving Layup (2 PTS),HOU,0
55,3,Ja. Green 25' 3PT Pullup Jump Shot (5 PTS),3,Ja. Green 25' 3PT Pullup Jump Shot (5 PTS),HOU,0
68,1,Ja. Green Free Throw 2 of 2 (6 PTS),1,Ja. Green Free Throw 2 of 2 (6 PTS),HOU,0
70,2,Whitmore 1' Driving Dunk (2 PTS),2,Whitmore 1' Driving Dunk (2 PTS),HOU,0
80,2,Thompson 1' Cutting Dunk Shot (5 PTS) (Sengun 1 AST),2,Thompson 1' Cutting Dunk Shot (5 PTS) (Sengun 1 AST),HOU,0
109,2,Ja. Green 10' Fadeaway Jumper (8 PTS),2,Ja. Green 10' Fadeaway Jumper (8 PTS),HOU,0
123,3,Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST),3,Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST),HOU,0
159,1,Whitmore Free Throw 1 of 3 (3 PTS),1,Whitmore Free Throw 1 of 3 (3 PTS),HOU,0
160,1,Whitmore Free Throw 2 of 3 (4 PTS),1,Whitmore Free Throw 2 of 3 (4 PTS),HOU,0
161,1,Whitmore Free Throw 3 of 3 (5 PTS),1,Whitmore Free Throw 3 of 3 (5 PTS),HOU,0
186,1,Irving Free Throw Technical (1 PTS),1,Irving Free Throw Technical (1 PTS),HOU,0
201,1,Eason Free Throw 1 of 2 (1 PTS),1,Eason Free Throw 1 of 2 (1 PTS),HOU,0
206,1,Eason Free Throw 2 of 2 (2 PTS),1,Eason Free Throw 2 of 2 (2 PTS),HOU,0
214,1,Sheppard Free Throw Technical (1 PTS),1,Sheppard Free Throw Technical (1 PTS),HOU,0
224,2,Thompson 21' Jump Shot (7 PTS) (Whitmore 1 AST),2,Thompson 21' Jump Shot (7 PTS) (Whitmore 1 AST),HOU,0
241,1,Sengun Free Throw 2 of 2 (3 PTS),1,Sengun Free Throw 2 of 2 (3 PTS),HOU,0
244,2,Sheppard 14' Running Pull-Up Jump Shot (3 PTS),2,Sheppard 14' Running Pull-Up Jump Shot (3 PTS),HOU,0
258,1,Brooks Free Throw 2 of 2 (4 PTS),1,Brooks Free Throw 2 of 2 (4 PTS),HOU,0
288,2,Eason 21' Pullup Jump Shot (4 PTS) (Sengun 2 AST),2,Eason 21' Pullup Jump Shot (4 PTS) (Sengun 2 AST),HOU,0
292,2,Ja. Green 2' Running Layup (10 PTS),2,Ja. Green 2' Running Layup (10 PTS),HOU,0
295,3,Ja. Green 26' 3PT Pullup Jump Shot (13 PTS),3,Ja. Green 26' 3PT Pullup Jump Shot (13 PTS),HOU,0
311,3,Ja. Green 25' 3PT Jump Shot (16 PTS) (Thompson 1 AST),3,Ja. Green 25' 3PT Jump Shot (16 PTS) (Thompson 1 AST),HOU,0
324,2,Sengun 16' Jump Shot (5 PTS) (Thompson 2 AST),2,Sengun 16' Jump Shot (5 PTS) (Thompson 2 AST),HOU,0
327,2,Thompson Alley Oop Dunk (9 PTS) (Ja. Green 2 AST),2,Thompson Alley Oop Dunk (9 PTS) (Ja. Green 2 AST),HOU,0
331,2,Thompson 1' Alley Oop Dunk (11 PTS) (Sengun 3 AST),2,Thompson 1' Alley Oop Dunk (11 PTS) (Sengun 3 AST),HOU,0
348,2,Sengun 9' Hook Shot (7 PTS) (Adams 1 AST),2,Sengun 9' Hook Shot (7 PTS) (Adams 1 AST),HOU,0
358,3,Thompson 3PT Jump Shot (14 PTS) (Brooks 1 AST),3,Thompson 3PT Jump Shot (14 PTS) (Brooks 1 AST),HOU,0
366,2,Sengun 15' Jump Shot (9 PTS) (Ja. Green 3 AST),2,Sengun 15' Jump Shot (9 PTS) (Ja. Green 3 AST),HOU,0
384,3,Brooks 3PT Jump Shot (7 PTS) (Ja. Green 4 AST),3,Brooks 3PT Jump Shot (7 PTS) (Ja. Green 4 AST),HOU,0
388,2,Sengun 5' Driving Hook Shot (11 PTS),2,Sengun 5' Driving Hook Shot (11 PTS),HOU,0
396,1,Sengun Free Throw 1 of 2 (12 PTS),1,Sengun Free Throw 1 of 2 (12 PTS),HOU,0
399,1,Sengun Free Throw 2 of 2 (13 PTS),1,Sengun Free Throw 2 of 2 (13 PTS),HOU,0
402,3,Sengun 26' 3PT Jump Shot (16 PTS) (Brooks 2 AST),3,Sengun 26' 3PT Jump Shot (16 PTS) (Brooks 2 AST),HOU,0
406,2,Ja. Green 1' Running Reverse Layup (18 PTS) (Brooks 3 AST),2,Ja. Green 1' Running Reverse Layup (18 PTS) (Brooks 3 AST),HOU,0
420,2,Sengun 5' Turnaround Hook Shot (18 PTS),2,Sengun 5' Turnaround Hook Shot (18 PTS),HOU,0
423,2,Brooks 19' Step Back Jump Shot (9 PTS),2,Brooks 19' Step Back Jump Shot (9 PTS),HOU,0
440,2,Thompson 6' Turnaround Jump Shot (16 PTS),2,Thompson 6' Turnaround Jump Shot (16 PTS),HOU,0
458,2,Ja. Green 1' Driving Dunk (20 PTS),2,Ja. Green 1' Driving Dunk (20 PTS),HOU,0
464,2,Sengun 1' Cutting Dunk Shot (20 PTS) (Ja. Green 5 AST),2,Sengun 1' Cutting Dunk Shot (20 PTS) (Ja. Green 5 AST),HOU,0
475,2,Eason 14' Jump Shot (6 PTS),2,Eason 14' Jump Shot (6 PTS),HOU,0
486,2,Eason 1' Alley Oop Layup (8 PTS) (Ja. Green 6 AST),2,Eason 1' Alley Oop Layup (8 PTS) (Ja. Green 6 AST),HOU,0
504,2,Holiday 4' Driving Finger Roll Layup (2 PTS) (Thompson 3 AST),2,Holiday 4' Driving Finger Roll Layup (2 PTS) (Thompson 3 AST),HOU,0
535,2,Thompson 11' Pullup Jump Shot (18 PTS),2,Thompson 11' Pullup Jump Shot (18 PTS),HOU,0
539,1,Whitmore Free Throw 1 of 2 (6 PTS),1,Whitmore Free Throw 1 of 2 (6 PTS),HOU,0
542,1,Whitmore Free Throw 2 of 2 (7 PTS),1,Whitmore Free Throw 2 of 2 (7 PTS),HOU,0
571,2,Ja. Green 6' Driving Floating Bank Jump Shot (22 PTS),2,Ja. Green 6' Driving Floating Bank Jump Shot (22 PTS),HOU,0
581,2,Thompson Tip Layup Shot (20 PTS),2,Thompson Tip Layup Shot (20 PTS),HOU,0
597,2,Sengun 5' Turnaround Hook Shot (22 PTS),2,Sengun 5' Turnaround Hook Shot (22 PTS),HOU,0
604,1,Sengun Free Throw 1 of 2 (23 PTS),1,Sengun Free Throw 1 of 2 (23 PTS),HOU,0
605,1,Sengun Free Throw 2 of 2 (24 PTS),1,Sengun Free Throw 2 of 2 (24 PTS),HOU,0
613,2,Adams Tip Dunk Shot (2 PTS),2,Adams Tip Dunk Shot (2 PTS),HOU,0
625,1,Sengun Free Throw 1 of 2 (25 PTS),1,Sengun Free Throw 1 of 2 (25 PTS),HOU,0
632,2,Ja. Green 14' Step Back Jump Shot (24 PTS),2,Ja. Green 14' Step Back Jump Shot (24 PTS),HOU,0
672,1,Sengun Free Throw 1 of 2 (26 PTS),1,Sengun Free Throw 1 of 2 (26 PTS),HOU,0
678,2,Sengun 1' Driving Floating Jump Shot (28 PTS) (Thompson 4 AST),2,Sengun 1' Driving Floating Jump Shot (28 PTS) (Thompson 4 AST),HOU,0
697,2,Sengun 1' Cutting Dunk Shot (30 PTS) (Thompson 5 AST),2,Sengun 1' Cutting Dunk Shot (30 PTS) (Thompson 5 AST),HOU,0
